Nazwa|Cena|Stan nieruchomości|Pow. całkowita|Pow. użytkowa|Piętro|Liczba pięter|Liczba poziomów mieszkania|Typ kuchni|Liczba łazienek|Pow. łazienki|łazienka razem z WC|Balkon|Taras|Rynek|Dostępne od|Forma własności|Rodzaj umowy|Typ budynku|Materiał budowlany|Rok budowy|Stan budynku|Ogrzewanie|Data dodania|Aktualizacja|Numer ogłoszenia|Liczba odsłon|Liczba Punktów Podbić|Inwestycja|Pow. ogródka|Liczba sypialni|Pow. tarasu|Pow. loggii|Wysokość wnętrza|Stolarka okienna|Pow. balkonu|Dodatkowe koszty|Cena do negocjacji|Typ nieruchomości|Typ domu|Pow. działki|Lokalizacja garażu
Mieszkanie 3pok Gdańsk Orunia PROWIZJA 0%|627 783 zł||67,79 m²||3/4|4||||||Tak||Pierwotny|2024-02-08|||Blok Mieszkalny|Pustak|2024||Co Miejskie|08.02.2024|22.03.2024|morizon-524438|81|0||||||||||||||
-Wygodne mieszkanie w Centrum miasta-|630 112 zł|Deweloperski|31,04 m²|||||||||Tak||Pierwotny|||||||||08.03.2024|08.03.2024|morizon-BHN-MS-4121|37|0||||||||||||||
2 pokoje z balkonem|631 442 zł||34,04 m²||1/4|4||||||||Pierwotny|||||||||27.03.2024|25.03.2024|morizon-HEX967142|25|0||||||||||||||
Słoneczne mieszkanie z balkonem|634 000 zł|DOBRY|65,80 m²||2/3|3||ANEKS KUCHENNY||||||Wtórny||WŁASNOŚĆ||NISKI BLOK|SILIKAT|2008||C.O. GAZOWE|26.01.2024|26.01.2024|morizon-15560/9376/OMS|149|0||||||||||||||
Mieszkanie 2 pok. , z balkonem, Przymorze|640 000 zł||46 m²||2/11|11||||||Tak||Wtórny||||Blok Mieszkalny|||||13.11.2023|05.04.2024|morizon-589338105|457|0|||2|||||||||||
Nowoczesne mieszkanie na Morenie|650 000 zł||52,20 m²||1/3|3||||||Tak||Wtórny|2024-01-06|||Apartamentowiec|Cegła|2009||Co Miejskie|08.01.2024|08.04.2024|morizon-WIL401272|198|0|||1|||||||||||
Świetne mieszkanie w sercu Gdańska od zaraz|659 000 zł||40 m²||2/4|4||||||||Wtórny||||Blok Mieszkalny||1950||Co Miejskie|14.07.2023|28.11.2023|morizon-711796|164|0||||||||||||||
OSTATNI LOKAL 77m2+HALE+komórki_1,9km tramwaj|664 000 zł|Do wykończenia|77,90 m²||1/4|4||||||Tak||Pierwotny||Własność||Blok|Wielka płyta|2023||Miejskie|06.03.2024|06.03.2024|morizon-1039|71|0|||||||PCV|||||||
Mieszkanie Kilkaset metrów od Morza|678 000 zł||47 m²|||10||||||Tak|Nie|Wtórny||||Blok Mieszkalny|Wielka płyta|1978||Co Miejskie|19.02.2024|22.02.2024|morizon-PAN738668|142|0||||||||||||||
Gdańsk Siedlce 3 pokoje|679 000 zł||55,19 m²|||4||||||||Wtórny|||Na wyłączność|Blok Mieszkalny||1990||Co Miejskie|01.12.2023|13.03.2024|morizon-DH673136|384|0|||2|||||||||||
Mieszkanie w Gdańsku ul. Ofiar Grudnia 70. Dwa miejsca postojowe w cenie|695 000 zł||52,72 m²||4/4|4||Aneks|||Tak|Tak||Wtórny|2023-09-01|Własność||Blok||2022|||30.08.2023|26.03.2024|morizon-gratka-31504545|1 060|0||||||||||||||
DWA NIEZALEŻNE POKOJE W CENTRUM WRZESZCZA|699 000 zł||56,13 m²||2/4|4||||||Tak|Nie|Wtórny||||Kamienica|Cegła|1960||Co Miejskie|29.06.2023|12.03.2024|morizon-PAN339872|733|0|||1|||||||||||
Nietuzinkowe mieszkanie 10 min od centrum Gdańska|729 000 zł||58 m²||4/4|4||||||||Wtórny|||Na wyłączność|||2022|||26.12.2023|05.04.2024|morizon-158001|388|0||||||||||||||
Kameralne osiedle blisko śródmieścia|760 000 zł||41,74 m²|||2||||||||Pierwotny|2024-10-01|||Apartamentowiec||2024|||09.02.2024|28.02.2024|morizon-HEX147334|74|0|||1|||||||||||
Wszędzie blisko! 3 duże pokoje z balkonem i piwnicą! Śródmieście, Gdańsk|819 000 zł||65 m²|64,57 m²|2/3|3|1|Osobna|1|5,40 m²|Tak|Tak|Nie|Wtórny|2024-01-01|Własność|Na wyłączność|Blok|Cegła|1973|Dobry|Miejskie|23.10.2023|12.03.2024|morizon-23/PB/14|246|0||||||300 cm||4 m²||Tak||||
"Przedsprzedaż | 1 piętro | Blisko centrum"|820 000 zł||52,68 m²||1/6|6|1|||||Tak||Pierwotny||||Blok Mieszkalny|Porotherm|2024||Co Miejskie|18.01.2024|28.03.2024|morizon-HEX198972|54|0|||2|||||||||||
4 pokoje I Balkon I po generalnym remoncie|850 000 zł||78,20 m²|||3||||||||Wtórny|||||||||09.01.2024|09.04.2024|morizon-HEX482075|214|0||||||||||||||
Mieszkanie czteropokojowe w kamienicy|1 080 000 zł|Bardzo dobry|80 m²||1/2|2|2|Aneks|2|4,50 m²|Tak|Nie|Tak|Wtórny|2024-03-27|Własność|Na wyłączność|Kamienica|Pustak||Bardzo dobry|Elektryczne|27.03.2024|03.04.2024|morizon-232|52|0||||9 m²||250 cm||||||||
3 pokojowe mieszkanie na Żabiance|860 000 zł||59,80 m²||4/4|4||||||Tak||Wtórny|2023-11-15|||Blok Mieszkalny|Wielka płyta|1991||Co Miejskie|27.10.2023|10.04.2024|morizon-GOF757495|381|0|||2|||||||||||
GOTOWY Apartament 2 pokojowy w inwestycji premium|887 959 zł||42,45 m²|||3|||||||Tak|Pierwotny|2024-01-29|||Apartamentowiec||2023|||29.01.2024|29.01.2024|morizon-DH376810|104|0||||||||||||||
Mieszkanie 2 pokoje Gdańsk Migowo 72mkw|910 000 zł||72,10 m²||1/5|5||Półotwarta|2|||Tak|Nie|Pierwotny||Własność||||2024|Deweloperski|C.o. miejskie|12.07.2023|05.04.2024|morizon-OR016034|240|0||||||||6,78 m²||||||
MIeszkanie z ogródkiem w centrum miasta|950 000 zł||43,70 m²|||6||||||||Wtórny|||Na wyłączność|||2018|||20.01.2024|20.03.2024|morizon-EC246728|232|0|||1|||||||||||
3 Pokoje W Centrum Wrzeszcza|970 000 zł|DO REMONTU|97 m²||1/2|2||ODDZIELNA|1|||||Wtórny||WŁASNOŚĆ||KAMIENICA|CEGŁA|1950||C.O. GAZOWE|26.02.2024|08.04.2024|morizon-1854/13290/OMS|145|0||||||||||||||
Gdańsk Morena - 4 pokoje z ogródkiem, bez prowizji|980 513 zł||85,76 m²||4/4|4||||||||Wtórny||||||2025|||18.03.2024|18.03.2024|morizon-HEX665959|38|0|||3|||||||||||
Pięknie wykończone 3 pokoje nieopodal plaży|1 014 000 zł||64,23 m²||1/5|5||||||Tak||Wtórny||||Blok Mieszkalny||2022||Co Miejskie|13.10.2023|28.02.2024|morizon-PH134024|117|0|||2|||||||||||
2 pokoje 53,07m2 Gotowe, Świetna lokalizacja|1 058 265 zł|DO WYKOŃCZENIA|54,27 m²||2/2|2||||||Tak||Pierwotny||WŁASNOŚĆ||APARTAMENTOWIEC||2023||C.O. Z SIECI MIEJSKIEJ|11.01.2024|11.01.2024|morizon-BON44763|44|0||||||||||||||
Atrakcyjny apartament w topowej lokalizacji|1 126 870 zł||53,66 m²||2/2|2||||||Tak||Pierwotny|2024-12-31|||Apartamentowiec||2024||Co Miejskie|03.02.2024|03.02.2024|morizon-Styl408798010|84|0|||2|||||||||||
Mieszkanie jak dom z ogrodem! Bez prowizji|1 180 000 zł||120,72 m²|||3|||||||Tak|Wtórny|||Na wyłączność|||2018|||30.11.2023|19.03.2024|morizon-Koziorożca S|411|0|||3|||||||||||
Gdańsk Morena - 4 pokoje z tarasem, bez prowizji|1 192 805 zł||92,97 m²|||4||||||||Wtórny||||||2025|||19.03.2024|18.03.2024|morizon-HEX934857|29|0|||3|||||||||||
Przestronne 2 poziomowe mieszkanie|1 199 000 zł||104 m²||4/4|4||||||Tak||Wtórny||||||1994|||27.10.2023|19.01.2024|morizon-EC111111784124|144|0||||||||||||||
Słoneczny apartament w otoczeniu Starego Miasta|1 210 000 zł|WYSOKI STANDARD|65,09 m²||1/5|5||ANEKS KUCHENNY||||||Wtórny||WŁASNOŚĆ|Na wyłączność|APARTAMENTOWIEC||2019||C.O. Z SIECI MIEJSKIEJ|08.12.2023|24.01.2024|morizon-15268/9376/OMS|191|0||||||||||||||
Komfortowy Apartament Najwyższy Standard, Oliwa|1 279 653 zł||64,37 m²|||3|||||||Tak|Pierwotny||||Apartamentowiec||2023||Co Miejskie|07.09.2023|02.02.2024|morizon-334131|139|0|||2|||||||||||
APARTAMENT 4 pok. na 7 piętrze z widokiem na las|1 550 000 zł|Bardzo dobry|85,72 m²||7/7|7|||||||Tak|Wtórny|||||||||30.06.2023|06.02.2024|morizon-BHN-MS-3671|479|0||||||||21 m²||||||
3pokojowy apartament, ostatnie piętro- Śródmieście|1 750 000 zł||70 m²||7/7|7||Aneks kuchenny - połączony z salonem|2||Tak|||Wtórny||||Apartamentowiec||2012|||17.07.2023|06.02.2024|morizon-BHN-MS-3693|218|0|||2|||||||||||
Czego chcieć więcej|1 916 219 zł|DO WYKOŃCZENIA|97,25 m²||1/2|2||ANEKS KUCHENNY|2|||Tak||Pierwotny|2023-12-30|||NISKI BLOK||2023||C.O. Z SIECI MIEJSKIEJ|08.10.2023|22.03.2024|morizon-223/9142/OMS|93|0||||||||||||||
Sobieszewo I 2 apartamenty I Inwestycja|1 999 999 zł||113,31 m²|||2||||||||Wtórny|||||||||20.09.2023|08.04.2024|morizon-HEX317590|174|0||||||||||||||
PRZESTRONNY DOM W NOWEJ INWESTYCJI|2 085 340 zł||185,02 m²||1/1|1||||||||Wtórny|||||||||19.03.2024|17.03.2024|morizon-HEX145465|46|0||||||||||||||
Kawalerka z oddzielną kuchnia|299 000 zł||26 m²|||1||||||Nie|Nie|Wtórny|||Na wyłączność|Kamienica|Cegła|1900||Gazowe|26.10.2023|09.04.2024|morizon-PAN506617|1 074|0||||||||||||||
Kawalerka z możliwością odliczenia podatku VAT|315 000 zł||27,13 m²||3/4|4||||||||Pierwotny|2023-10-27||Na wyłączność|Blok Mieszkalny|Porotherm|2023||Co Miejskie|26.10.2023|21.02.2024|morizon-HEX843776|300|0||||||||||||||
DUZY WYBÓR_siłownia_KOMÓRKA_10min od Starówki_LAS|423 000 zł|Do wykończenia|37,30 m²||1/4|4||||||Tak||Pierwotny||Własność||Blok|Silikat|2023||Miejskie|06.03.2024|06.03.2024|morizon-1049|175|0|||||||PCV|||||||
Komfortowe 2 pokojemw świetnej lokalizacji|425 500 zł||33,24 m²||1/4|4||||||Tak||Pierwotny|2024-10-31|||||2024|||24.11.2023|07.03.2024|morizon-OF746507|203|0|||1|||||||||||
Mieszkanie 2 pokojowe gotowe do odbioru|441 000 zł||32,62 m²||1/4|4||||||Tak||Pierwotny||||||2024|||05.04.2024|05.04.2024|morizon-OF678333|24|0|||1|||||||||||
Nowe osiedle na południu Gdańska|450 180 zł||36,90 m²|||3|||||||Tak|Pierwotny|2024-09-30|||Blok Mieszkalny||2024||Co Miejskie|06.12.2023|10.03.2024|morizon-DH357696|127|0||||||||||||||
Kawalerka na Śródmieściu|497 224 zł||27,32 m²||2/4|4||||||||Pierwotny|||||||||27.03.2024|25.03.2024|morizon-HEX471330|24|0||||||||||||||
Gotowe 3 pokoje|517 300 zł||51,73 m²||3/4|4||||||Tak||Pierwotny|2024-03-13||Na wyłączność|||2023|||20.10.2023|05.04.2024|morizon-HEX383040451|207|0|||2|||||||||||
Na parterze z ogródkiem blisko centrum|524 430 zł|DO WYKOŃCZENIA|47,52 m²||3/4|4||||||||Pierwotny||WŁASNOŚĆ||NISKI BLOK||2023|||07.11.2023|12.02.2024|morizon-8254/8976/OMS|87|0||||||||||||||
Najtaniej za m2 na Jasieniu. 2 pokoje + parking|530 000 zł|Wysoki standard|49,40 m²||1/4|4||Kuchnia otwarta z oknem||||Tak||Wtórny||Własność|Na wyłączność|Blok mieszkalny|Mieszana|2012||Ogrzewanie miejskie|18.10.2023|29.02.2024|morizon-CEHE841|388|0||||||260 cm||||||||
"Kawalerka w Sercu Gdańska | Zielone Osiedle"|559 999 zł||34,13 m²||1/2|2||||||Tak||Pierwotny|2024-12-31|||Apartamentowiec||2024||Co Miejskie|27.02.2024|27.02.2024|morizon-HEX340860|75|0|||1|||||||||||
Mieszkanie 2 pokoje - 900m plaża Jelitkowo|569 000 zł||38 m²|||10||||||Tak||Wtórny||||Blok Mieszkalny||1970|||05.09.2023|22.03.2024|morizon-878243|257|0|||2|||||||||||
"1piętro | Blisko centrum miasta"|570 000 zł||40,09 m²||1/4|4|1|||||Tak||Pierwotny|2024-01-01|||Apartamentowiec|Porotherm|2024|||28.12.2023|28.03.2024|morizon-HEX455481|221|0|||1|||||||||||
Słoneczne mieszkanie 3 pokojowe na Jasieniu|576 500 zł||57,65 m²||3/4|4||||||Tak||Pierwotny|2024-10-31|||||2024|||08.03.2024|07.03.2024|morizon-OF184063149|61|0|||2|||||||||||
2 pokoje po generalnym remoncie|579 000 zł||54,55 m²||1/3|3||||||||Wtórny|||Na wyłączność|||1920|||21.08.2023|09.04.2024|morizon-HEX650261721|554|0||||||||||||||
Dwupokojowe mieszkanie, świetna lokalizacja|582 756 zł||41,19 m²||1/4|4||||||||Pierwotny|2025-12-31||||||||26.03.2024|26.03.2024|morizon-296/7067/OMS|24|0||||||||||||||
Dwupoziomowe mieszkanie w pięknej okolicy|995 000 zł|Bardzo dobry|137 m²|113 m²|1/2|2|2|Aneks|2|8 m²|Tak|Tak|Tak|Wtórny|2024-04-10|Własność|Na wyłączność|Apartamentowiec|Bloczki|2013|Bardzo dobry|Miejskie|09.04.2024|09.04.2024|morizon-233|16|0||||||||||||||
Kompaktowe mieszkanie 3 pokojowe blisko centrum|590 000 zł||58,09 m²||3/4|4||||||Tak||Wtórny|2024-06-29|||Blok Mieszkalny||2024|||06.03.2024|06.03.2024|morizon-HEX781208|167|0|||2|||||||||||
Morena-Jasień nowe mieszkanie|598 674 zł|Deweloperski|41,75 m²||2/4|4||||||Tak||Pierwotny||||Budynek wielorodzinny||2025|||23.02.2024|08.03.2024|morizon-BHN-MS-4062|61|0||||||||5,76 m²||||||
Okazja dla inwestora, 10 mieszkań w pakiecie|646 000 zł|Wysoki standard|55 m²||1/5|5||||||Tak||Wtórny||||Budynek wielorodzinny||2021|||19.12.2023|18.12.2023|morizon-BHN-MS-3933-3|298|0|||2||||||450|||||
Słoneczne trzy pokoje z ogrodem ul. Guderskiego|649 000 zł||53,40 m²|||3||Półotwarta|1|||Nie|Tak|Wtórny||Własność|Na wyłączność|||2008|Bardzo dobry|C.o. miejskie|20.02.2024|19.02.2024|morizon-BH06803|154|0||||||||||||||
Widok na staw! Smart house I Dwie łazienki I Garaż|649 000 zł||61 m²||1/4|4||||||Tak||Wtórny||||||2024|||27.01.2024|28.02.2024|morizon-HEX937416|206|0|||2|||||||||||
Nowoczesne i przestrzenne 4 pokoje|681 000 zł||89,13 m²||1/2|2||||||||Wtórny|||||||||27.03.2024|25.03.2024|morizon-HEX484434|34|0||||||||||||||
Mieszkanie w trakcie remontu na Piastowskiej|689 000 zł||46 m²||1/9|9|1|||||||Wtórny|2023-08-22|||Falowiec||1971|||22.08.2023|27.03.2024|morizon-R-199209|1 072|0|||1|||||||||||
Nowe osiedle na południu Gdańska|691 425 zł||65,85 m²||2/3|3||||||Tak||Pierwotny|2024-09-30|||Blok Mieszkalny||2024||Co Miejskie|06.12.2023|10.03.2024|morizon-DH850013|93|0|||3|||||||||||
4 pokojowe mieszkanie w stanie deweloperskim|719 000 zł||71,90 m²||4/4|4|1|||||Tak||Wtórny|||Na wyłączność|Blok Mieszkalny|Konstrukcja mieszana|2023||Co Miejskie|30.09.2023|22.02.2024|morizon-WH191135|481|0|||4|||||||||||
OSTATNIE DUŻE M na osiedlu|719 827 zł||68,23 m²||1/3|3||||||||Pierwotny||||Blok Mieszkalny||2024||Co Miejskie|27.03.2022|21.01.2024|morizon-TY928552|1 143|0||||||||||||||
Gdańsk Morena - 3 pokoje z tarasem - bez prowizji|733 269 zł||61,05 m²|||4||||||||Wtórny||||||2025|||18.03.2024|18.03.2024|morizon-HEX325072|28|0|||2|||||||||||
3 pokoje z garderobą - od zaraz|752 850 zł||63 m²||3/4|4||||||Tak||Wtórny|2023-12-11||Na wyłączność|Blok Mieszkalny||2021||Co Miejskie|09.12.2023|02.02.2024|morizon-WE622020|546|0||||||||||||||
Mieszkanie 2-pokojowe 44.5m2 - Gdańsk Letnica|797 760 zł||49,86 m²||3/18|18|1||||||Tak|Pierwotny||||Blok Mieszkalny||2024||Co Miejskie|14.03.2024|14.03.2024|morizon-DJ443446|28|0|||1|||||||||||
Komfortowe trzypokojowe mieszkanie|799 000 zł||65,84 m²||11/11|11|1|||||||Wtórny|2023-11-30|||Wieżowiec||1986||Co Miejskie|05.10.2023|22.02.2024|morizon-R-624533|168|0||||||||||||||
Przytulne i jasne rozkładowe mieszkanie w centrum|799 000 zł||60,40 m²||3/3|3|1|||||||Wtórny|2023-12-01||Na wyłączność|Kamienica|Cegła|1901||Gazowe|11.09.2023|23.02.2024|morizon-HEX716501|389|0|||2|||||||||||
3 pokoje/Parter/Inpro/Morena|800 000 zł||65,50 m²|||3||||||Tak|Nie|Wtórny||||Blok Mieszkalny|Pustak|2006||Co Miejskie|14.10.2023|18.03.2024|morizon-PAN106206|630|0||||||||||||||
3 pokoje z ogródkiem i miejscem postojowym|800 000 zł|DO REMONTU|60 m²||1/2|2||ODDZIELNA|1|||||Wtórny||WŁASNOŚĆ||KAMIENICA|CEGŁA|1950||C.O. GAZOWE|12.10.2023|03.04.2024|morizon-773/13290/OMS|489|0||||||||||||||
Komfortowe 2 Pokoje, 17 Piętro z Pięknym Widokiem|807 895 zł||43,67 m²||17/17|17||||||||Pierwotny||||Blok Mieszkalny||2024||Co Miejskie|17.08.2023|21.03.2024|morizon-291588|117|0|||1|||||||||||
Apartament w super lokalizacji|853 770 zł||44,70 m²||2/3|3||||||Tak||Pierwotny|2023-12-31|||Apartamentowiec||2023||Co Miejskie|07.10.2023|22.03.2024|morizon-Styl190019197|90|0|||1|||||||||||
Nowe Osiedle, Komfortowe Mieszkanie, Morena|865 878 zł||77,12 m²||1/4|4||||||Tak||Pierwotny||||Blok Mieszkalny||2025||Co Miejskie|27.09.2023|07.02.2024|morizon-821098|108|0|||3|||||||||||
Przestronne mieszkanie w spokojnej okolicy|885 000 zł||86 m²|||3||||||Tak||Wtórny|||Na wyłączność|||1913|||13.12.2023|28.03.2024|morizon-HEX248470|436|0|||2|||||||||||
Inwestycja Premium, Taras|905 528 zł||87,07 m²|||6|||||||Tak|Pierwotny||||Blok Mieszkalny||2024||Co Miejskie|07.07.2023|21.03.2024|morizon-637311|163|0|||3|||||||||||
Gdańsk Centrum, wyposażony apartament 2-pok z garażem|920 000 zł|Wysoki standard|35 m²||2/5|5|1|Połączona z salonem|1|||Tak|Nie|Wtórny|2024-02-05|Własność|Na wyłączność|Blok mieszkalny|Cegła|2019|||05.02.2024|29.02.2024|morizon-47330169|95|0|||||||Nowe plastikowe|||||||
Aniołki, 4 pokoje z balkonem i garażem|987 000 zł||89,70 m²||2/2|2||||||Tak|Nie|Wtórny|||Na wyłączność|Kamienica|Cegła|1910||Gazowe|27.06.2023|22.02.2024|morizon-PAN636700|1 107|0||||||||||||||
Wysoki standard w stylu modern classic - Chełm|990 000 zł||76,80 m²|||3||||||Tak||Wtórny||||Blok Mieszkalny||1995||Co Miejskie|11.11.2023|18.03.2024|morizon-BU566901|338|0||||||||||||||
Przestronny apartament w świetnej lokalizacji|1 058 265 zł||54,27 m²||2/2|2||||||Tak||Pierwotny||||||2023|||02.02.2024|02.02.2024|morizon-OF998949|65|0|||1|||||||||||
⭐️UNIKAT WE WRZESZCZU⭐️OGRÓDEK+3 MIEJSCA POSTOJOWE|1 097 000 zł||84,47 m²|||1||||||||Wtórny||||Historyczny/zabytkowy|Cegła|1900||Co Miejskie|14.09.2023|19.02.2024|morizon-TC137139|1 117|0||||||||||||||
Gdańsk- 4 pok. (88,4 mkw.), na ul. Słowackiego|1 290 000 zł||88,40 m²||2/8|8||||||Tak||Wtórny|||||||||30.08.2023|13.03.2024|morizon-756448|228|0|||3|||||||||||
Mieszkanie od Dewelopera, Nowoczesne Osiedle|1 319 940 zł||73,33 m²||17/17|17||||||||Pierwotny||||Blok Mieszkalny||2024||Co Miejskie|05.10.2023|21.03.2024|morizon-445354|103|0|||3|||||||||||
Apartament z ogródkiem Gdańsk Jaśkowa Dolina|1 500 000 zł||70,87 m²|||2|||||||Tak|Wtórny||||Apartamentowiec||2013||Co Miejskie|09.11.2020|17.11.2023|morizon-TY887499|4 919|0||||||||||||||
Apartament dwupoziomowy z ogrodem przy Motławie|1 550 000 zł||92,09 m²|||5|2||||||Tak|Wtórny|2023-02-09||Na wyłączność|Apartamentowiec||2021||Co Miejskie|06.07.2022|26.02.2024|morizon-TC707391451|2 423|0|||3|||||||||||
APARTAMENT 4 pok. 2 łaz. 2 m. post. Gd.LETNICAA|1 700 000 zł||100,30 m²||5/5|5||||||Tak|Nie|Wtórny||||Blok Mieszkalny|YTong|2023||Co Miejskie|17.01.2024|17.01.2024|morizon-PAN678825|106|0||||||||||||||
"Apartament 4 pokoje | ogród | Idealna lokalizacja"|1 785 672 zł||106,29 m²|||3||||||||Pierwotny|||||||||29.02.2024|13.03.2024|morizon-824895|84|0||||||||||||||
Duże mieszkania kolo parku Oliwskiego Oliwa Star|3 266 777 zł||128,08 m²||2/3|3||||||||Pierwotny||||||2023|||16.01.2024|28.03.2024|morizon-109819538|144|0||||||||||||||
Kameralna Inwestycja z Tarasem|307 999 zł||15,61 m²|||2|||||||Tak|Pierwotny||||Apartamentowiec||2024|||10.01.2024|10.01.2024|morizon-641159|96|0||||||||||||||
700 Metrów do plaży! Kupujący NIE płaci 2% Podatku|1 019 000 zł||65 m²||1/5|5||||||Tak||Wtórny||||||2023||Co Miejskie|26.02.2024|04.04.2024|morizon-903919|222|0|||2|||||||||||
Kawalerka na Przymorzu, Idealna inwestycja|365 000 zł||19 m²||4/4|4||||||||Wtórny|2024-02-01|||Blok Mieszkalny||||Co Miejskie|29.01.2024|12.03.2024|morizon-838626|183|0|||1|||||||||||
2-pokoje w okazyjnej cenie|434 630 zł||39,36 m²||3/6|6|1|||||Tak||Pierwotny|2024-09-30|||||2024|||04.04.2024|04.04.2024|morizon-181225|16|0|||1|||||||||||
"Mieszkanie 2 pokojowe z potencjałem | spółdzielczo własnościowe | duży balkon |"|530 000 zł|Dobry|42,50 m²||2/4|4||Jasna|1|||||Wtórny||Spół. własnościowe||||1976|||29.01.2024|14.03.2024|morizon-524663|353|0||||||||||||||
POWRÓT ostatni w tym metrażu ODBIERZ klucze RABAT|536 800 zł|Do wykończenia|60,75 m²||2/4|4||||||Tak||Pierwotny||Własność||Blok|Wielka płyta|2023|||06.03.2024|06.03.2024|morizon-1053|89|0|||||||PCV|||||||
Opis nieruchomości|551 832 zł||53,20 m²||2/4|4||||||||Pierwotny|||||||||04.04.2024|04.04.2024|morizon-464145|4|0||||||||||||||
Mieszkanie 3 pokojowej w super cenie, na JUŻ|556 227 zł||60,73 m²||2/4|4||||||Tak||Pierwotny||||||2023|||19.01.2024|07.03.2024|morizon-OF395755|78|0|||3|||||||||||
Mieszkanie idealne pod inwestycję. Okazja|567 000 zł||60,40 m²||1/4|4||||||Tak||Wtórny|||Na wyłączność|Blok Mieszkalny|Cegła|||Elektryczne|06.02.2024|12.03.2024|morizon-AG897828|242|0||||||||||||||
mieszkanie Gdańsk Orunia Górna|568 880 zł||64,02 m²||1/4|4|1|||||Tak||Pierwotny||||Blok Mieszkalny|Konstrukcja mieszana|||Co Miejskie|16.02.2024|16.02.2024|morizon-DJ746167|97|0||||||||||||||
Nowe osiedle na południu Gdańska|573 870 zł||51,70 m²||1/3|3||||||Tak||Pierwotny|2024-09-30|||Blok Mieszkalny||2024||Co Miejskie|06.12.2023|11.03.2024|morizon-DH660553|120|0|||2|||||||||||
NOWE, DOBRZE SKOMUNIKOWANE 2 POKOJE|578 169 zł||41,57 m²||1/5|5||||||||Wtórny|||||||||19.03.2024|17.03.2024|morizon-HEX683896|76|0||||||||||||||
Idealne do zamieszkania lub pod wynajem|596 000 zł|DO WYKOŃCZENIA|57,79 m²||4/4|4||ANEKS KUCHENNY||||||Pierwotny||WŁASNOŚĆ||NISKI BLOK||2023||C.O. Z SIECI MIEJSKIEJ|01.12.2023|08.02.2024|morizon-8480/8976/OMS|190|0||||||||||||||
Ciche i słoneczne mieszkanie blisko morza|635 000 zł|Normalny|38 m²||3/4|4||Kuchnia otwarta z oknem||||||Wtórny||Własność||Blok mieszkalny|Wielka płyta|1970||Ogrzewanie miejskie|04.01.2024|05.03.2024|morizon-TOXO090|276|0||||||255 cm||||||||
Gotowe 3 pokoje|643 356 zł||76,59 m²||4/4|4||||||Tak||Pierwotny|2024-03-13||Na wyłączność|||2023|||20.10.2023|29.03.2024|morizon-HEX907015544|143|0|||2|||||||||||
Mieszkanie Gdańsk Matarnia ul. Kadetów 60,6 m2|650 000 zł|Dobry|60,60 m²||2/4|4||Osobna|2|||Tak||Wtórny||Własność||Blok||1992|Dobry|Miejskie|02.02.2024|13.02.2024|morizon-56743|315|0||||||||||||||
NOWE 2 POKOJE|669 724 zł||44,08 m²||2/5|5||||||||Wtórny|||||||||19.03.2024|17.03.2024|morizon-HEX177013|45|0||||||||||||||
Wykończone 4 pokoje na nowoczesnym osiedlu|670 500 zł||60,86 m²||4/4|4||||||Tak||Wtórny||||||2025|||05.02.2024|10.04.2024|morizon-HEX345153|122|0||||||||||||||
USTAWNE 3 POKOJE W DOBREJ LOKALIZACJI|692 639 zł||57,63 m²||1/5|5||||||||Wtórny|||||||||19.03.2024|17.03.2024|morizon-HEX318158|63|0||||||||||||||
3 pokojowe mieszkanie- Gdańsk Wrzeszcz|695 000 zł||59,65 m²||2/3|3||||||||Wtórny|||Na wyłączność|Kamienica||||Gazowe|26.09.2023|03.02.2024|morizon-DH976866|696|0||||||||||||||
Słoneczne mieszkanie 3 pokojowe z ogródkiem|699 000 zł||62,12 m²|||4||||||||Wtórny|||Na wyłączność|||2017|||13.11.2023|19.02.2024|morizon-OF928162|217|0|||2|||||||||||
Mieszkanie - Gdańsk Jasień|700 000 zł||56,67 m²||1/4|4||Półotwarta|1|||Tak|Nie|Wtórny||Własność||||2016|Bardzo dobry|C.o. miejskie|07.03.2024|13.03.2024|morizon-CN0762|77|0||||||||||||||
Sprzedam 3 pokojowe słoneczne mieszkanie|708 000 zł||75 m²||3/3|3|2|||||Tak|Nie|Wtórny||||Blok Mieszkalny|Pustak|2017||Co Miejskie|04.07.2023|06.03.2024|morizon-PAN542077|608|0|||2|||||||||||
2 Pokoje W Centrum Gdańska|715 000 zł||45 m²||1/1|1||ODDZIELNA|1|||||Wtórny||WŁASNOŚĆ||KAMIENICA|CEGŁA|1930||C.O. GAZOWE|08.12.2023|03.04.2024|morizon-1425/13290/OMS|125|0||||||||||||||
Opis nieruchomości|717 300 zł||31,92 m²||2/4|4||||||||Wtórny||||||1911||Co Miejskie|18.10.2023|22.11.2023|morizon-PH847705|100|0||||||||||||||
Lukratywna inwestycja w prestiżowej lokalizacji|719 000 zł||35,70 m²|||4||||||||Wtórny|||Na wyłączność|Apartamentowiec||2020||Co Miejskie|01.09.2023|09.11.2023|morizon-TY879267|419|0||||||||||||||
Atrakcyjny apartament z ogródkiem|724 543 zł||40,03 m²|||2||||||||Pierwotny|2024-12-31|||Apartamentowiec||2024||Co Miejskie|03.02.2024|03.02.2024|morizon-Styl147853594|79|0|||1|||||||||||
